Lần xuất hiện,"Địa điểm (0: Đỏ, 1: Đen)"
14:30 29-12-2024,1
14:30 29-12-2024,0
14:30 29-12-2024,1
14:30 29-12-2024,0
14:30 29-12-2024,1
14:30 29-12-2024,1
14:30 29-12-2024,1
14:30 29-12-2024,1
14:30 29-12-2024,0
14:30 29-12-2024,1
14:30 29-12-2024,1
14:36 29-12-2024,0
14:41 29-12-2024,0
14:41 29-12-2024,0
14:50 29-12-2024,0
14:55 29-12-2024,0
14:59 29-12-2024,0
15:03 29-12-2024,1
15:07 29-12-2024,1
15:13 29-12-2024,0
15:17 29-12-2024,0
15:23 29-12-2024,0
15:26 29-12-2024,1
15:30 29-12-2024,0
15:33 29-12-2024,1
15:36 29-12-2024,0
15:43 29-12-2024,1
15:46 29-12-2024,1
15:52 29-12-2024,1
15:55 29-12-2024,1
15:59 29-12-2024,1
16:05 29-12-2024,1
16:09 29-12-2024,0
16:12 29-12-2024,1
16:21 29-12-2024,0
16:24 29-12-2024,0
16:31 29-12-2024,0
16:34 29-12-2024,1
16:38 29-12-2024,1
17:11 29-12-2024,1
17:11 29-12-2024,1
17:11 29-12-2024,0
17:11 29-12-2024,0
17:11 29-12-2024,0
17:11 29-12-2024,0
17:11 29-12-2024,1
17:28 29-12-2024,0
17:28 29-12-2024,1
17:28 29-12-2024,0
17:34 29-12-2024,0
17:37 29-12-2024,0
17:46 29-12-2024,1
17:46 29-12-2024,0
17:46 29-12-2024,1
18:07 29-12-2024,0
18:19 29-12-2024,1
18:37 29-12-2024,0
18:46 29-12-2024,1
